Name,Price,Release Date,SIM Support,Phone Dimensions,Phone Weight,Operating System,Screen Size,Screen Resolution,Screen Type,Screen Protection,Internal Memory,RAM,Card Slot,Processor,GPU,Type,Front Camera,Front Flash Light,Front Video Recording,Back Flash Light,Back Camera,Back Video Recording,Bluetooth,3G,4G/LTE,5G,Radio,WiFi,NFC
TecnoSpark7,"Rs.17,699",2021 April 09,Dual SIM (Nano-SIM dual stand-by),164.8 x 76.1 x 9.5 mm,,Android 11 HIOS 7.5,6.5 inches,720 x 1600 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,No,32/64 GB,2/4 GB,Yes,MediaTek Helio A25,PowerVR GE8320,Li-Po 6000 mAh non-removable,8 MP,Yes,1080p@30fps,Yes,16 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
TecnoSpark7Pro,"Rs.19,799",2021 April 27,Dual SIM (Nano-SIM dual stand-by),164.9 x 76.2 x 8.8 mm,,Android 11 HIOS 7.5,6.6 inches,720 x 1600 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,No,64 GB,4 GB,Yes,Mediatek Helio G80,Mali-G52 MC2,Li-Po 5000 mAh non-removable,8 MP,Yes,1080p@30fps,Yes,48 MP ,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
Realme8pro,"Rs.47,999",2021 March 24,Dual SIM (Nano-SIM dual stand-by),160.6 x 73.9 x 8.1 mm,176 g,Android 11 Realme UI 2.0,6.4 inches,1080 x 2400 pixels,Super AMOLED Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass  ,128 GB,6/8 GB ,Yes,Qualcomm SM7125 Snapdragon 720G,Adreno 618,Li-Po 4500 mAh non-removable,16 MP,No,1080p@30/120fps gyro-EIS,Yes,108 MP + 8 MP + 2 MP + 2 MP,4K@30fps 1080p@30/60/120/480fps 720p@960fps gyro-EIS,Yes,Yes,Yes,No,No,Yes,Yes (market/region dependent)
XiaomiRedmiNote10Pro,"Rs.42,599",2021 March 04,Dual SIM (Nano-SIM dual stand-by),164.5 x 76.2 x 8.1 mm,193 g,Android 11 MIUI 12,6.67 inches,1080 x 2400 pixels,AMOLED Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 5,64/128 GB,6/8 GB ,Yes,Qualcomm® Snapdragon™ 732G,Adreno 618,Li-Po 5020 mAh non-removable,16 MP f/2.5,No,1080p@30fps 720p@120fps,Yes,108 MP + 8 MP + 5 MP + 2 MP,4K@30fps 1080p@30/60fps,Yes,Yes,Yes,No,No,Yes,Yes (market/region dependent)
XiaomiPocoF3,"Rs.64,999",2021 March 22,Dual SIM (Nano-SIM dual stand-by),163.7 x 76.4 x 7.8 mm,196 g,Android 11 MIUI 12 for POCO,6.67 inches,1080 x 2400 pixels,AMOLED Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 5,128/256 GB,6/8 GB ,No,Qualcomm SM8250-AC Snapdragon 870 5G,Adreno 650,Li-Po 4520 mAh non-removable,20 MP,No,1080p@30fps 720p@120fps,Yes,48 MP + 8 MP + 5 MP,4K@30fps 1080p@30/60/120/240/960fps gyro-EIS,Yes,Yes,Yes,No,Yes,Yes (market/region dependent),
XiaomiRedmiNote105G,"Rs.31,999",2021 March 04,Dual SIM (Nano-SIM dual stand-by),161.8 x 75.3 x 8.9 mm,190 g,Android 11 MIUI 12,6.5 inches,1080 x 2400 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch ,Corning Gorilla Glass 3,128 GB,4/6 GB,Yes,MediaTek MT6833 Dimensity 700 5G,Mali-G57 MC2,Li-Po 5000 mAh non-removable,8 MP,No,1080p@30fps,Yes,48 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,Yes,FM radio,Yes,Yes (market/region dependent)
RealmeC25,"Rs.27,299",2021 March 23,Dual SIM (Nano-SIM dual stand-by),164.5 x 75.9 x 9.6 mm,209 g,Android 11 Realme UI 2.0,6.5 inches,720 x 1600 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,No,64/128 GB,4 GB     ,Yes,MediaTek G70,ARM G52,Li-Po 6000 mAh non-removable,8 MP,No,1080p@30fps,Yes,48 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
XiaomiRedmiNote10,"Rs.30,099",2021 March 08,Dual SIM (Nano-SIM dual stand-by),160.5 x 74.5 x 8.3 mm,178.8 g,Android 11 MIUI 12,6.43 inches,1080 x 2400 pixels,Super AMOLED Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 3,64/128 GB,4/6 GB,Yes,Qualcomm SDM678 Snapdragon 678,Adreno 612,Li-Po 5000 mAh non-removable,13 MP f/2.5,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP + 2 MP,4K@30fps 1080p@30/60fps,Yes,Yes,Yes,No,No,Yes,Yes
RealmeC21,"Rs.22,799",2021 March 05,Dual SIM (Nano-SIM dual stand-by),165.2 x 76.4 x 8.9 mm ,190 g,Android 10 Realme UI,6.5 inches,720 x 1600 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,No,64 GB,4 GB,Yes,MediaTek Helio G35,IMG GE8320,Li-Po 5000 mAh non-removable,5 MP,No,1080p@30fps,Yes,13 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
SamsungGalaxyA52,"Rs.52,999",2021 March 17,Hybrid Dual SIM (Nano-SIM dual stand-by),159.9 x 75.1 x 8.4 mm,189 g,Android 11 One UI 3.1,6.5 inches,1080 x 2400 pixels,Super AMOLED Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 5,128/256 GB,4/6/8 GB,Yes,Qualcomm SM7125 Snapdragon 720G (8 nm),Adreno 618,Li-Po 4500 mAh non-removable,32 MP,No,4K@30fps 1080p@30fps,Yes,64 MP + 12 MP + 5 MP + 5 MP,4K@30fps 1080p@30/120fps; gyro-EIS,Yes,Yes,Yes,No,Yes,Yes (market/region dependent),
